 
🎵2月15测试有效,#genre#
今日去除失效800+,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2fWv4gUo9JT7DQ.mp4
保留9219有效频道,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgvue_4gUomZa1kQU.mp4
IPV4源会标记(V4),https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240024786285.mp4
IPV6源会标记(V6),https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903321355.mp4
V6看不了请查看网盘常见问题,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799872402.mp4
确保更新频道地址去除失效,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239880949246.mp4
您的三连是我长期维护的动力,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239858729476.mp4
无偿分享请您知悉,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239755956819.mp4
请不要把源分享给群外人员,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240095359203.mp4
防止源外传，定期更换内部源地址,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240167997205.mp4
内部源请查看群精华信息,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240059400880.mp4
多线路频道组请手动切换线路,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240407847242.mp4
遥控左右菜单可切换线路,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240062596020.mp4
20个线路涵盖各地区确保所有人可以看,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799088974.mp4
伍佰挪威的森林(演唱会),http://em.21dtv.com/songs/60032810.mkv
伍佰突然的自我(演唱会),http://em.21dtv.com/songs/60042927.mkv
伍佰美丽新世界(演唱会),http://em.21dtv.com/songs/60029283.mkv
刀郎经典歌曲精选,https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
刘德华世界第一等(演唱会),http://em.21dtv.com/songs/60039259.mkv
刘德华如果有一天(演唱会),http://em.21dtv.com/songs/60036969.mkv
刘德华缠绵(演唱会),http://em.21dtv.com/songs/60012256.mkv
制作不易请给我点赞,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239978750464.mp4
容祖儿+古巨基情义两心坚(演唱会),http://em.21dtv.com/songs/60035407.mkv
容祖儿去火星恋爱(演唱会),http://em.21dtv.com/songs/60035841.mkv
 
👉Q3群374739884V4,#genre#
CCTV-01 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-02 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-03 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-04 中文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV+5+ 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07 国防,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-08 电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

 
💝小白15号正版抓包全国通用1点失效V4,#genre#
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20250215165205&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=60.219.242.232&SecurityKey=20250215165205&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=7bb83c9a39137f66a4f6951e0cecb654&sv=10003&ct=ios&playUrlSsn=4b0e013d29fc03b8513df9ab84f6f563&is_advertise=0&jid=c35f86d6954fe1c34d472859072d7cb0&sjid=subsession_1739609524848&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=37aa66751da04b17b23cf331105fd14f

CCTV2,http://mgsp-ws2.live.miguvideo.com:8088/migu/kailu/cctv2hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20250215165231&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=63178053220250215026&ParentNodeID=-99&assertID=5500346945&client_ip=60.219.242.232&SecurityKey=20250215165231&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=c449b04569e2b4d1c210a2bbfda64aa7&is_advertise=0&jid=8b6b3b43328468077639d46aad29c913&sjid=subsession_1739609550834&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=0bd09465dad919858a6a6f3f1568dd31&encrypt=afacf502125429083b95ddf876b7c4f9

CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20250215165245&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487827120250215018&ParentNodeID=-99&assertID=5500212864&client_ip=60.219.242.232&SecurityKey=20250215165245&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=c0cca8aba770f354c8dac22bdc606486&sv=10003&ct=ios&playUrlSsn=013aa399db8e6a52d4223ea78133482b&is_advertise=0&jid=d774b94c3002255f0b53784f23eedc99&sjid=subsession_1739609564753&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=69c327064559afb3bc700dd04c67bb1f

CCTV4,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv4hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20250215165258&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=63178042120250215031&ParentNodeID=-99&assertID=5500346947&client_ip=60.219.242.232&SecurityKey=20250215165258&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=3d0684baf5c67632473cc2f2bd05e8f1&sv=10003&ct=ios&playUrlSsn=838f9917deb9aec7ccd2a4eace7c5a35&is_advertise=0&jid=9eaaaef3f58689242ec86c2b2bce6a02&sjid=subsession_1739609577848&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=5ea684584b3e1bce05b323cce730f7f1

CCTV5,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv5hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20250215165314&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=64188668320250215017&ParentNodeID=-99&assertID=5500516171&client_ip=60.219.242.232&SecurityKey=20250215165314&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=889db22fbb5776022d28996ef63b2d57&sv=10003&ct=ios&playUrlSsn=b47ad22ec02e7ece38290f3e66b64404&is_advertise=0&jid=2fd49678ceb38b52b81c2fb81a977a3c&sjid=subsession_1739609593901&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8381a8be1e752d429a7112d8b4f862f1

CCTV5+,http://mgsp-hs2.live.miguvideo.com:8088/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20250215165331&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=64188677320250215014&ParentNodeID=-99&assertID=5500516288&client_ip=60.219.242.232&SecurityKey=20250215165331&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=5f5c45968b460c1b4045259c6ead6463&is_advertise=0&jid=eb8032b35852073e85826b6154a2548a&sjid=subsession_1739609611598&mtv_session=8947243e2f0f5528b7b44f3bcf2db1c2&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=5bb9c90422d9626f48b3123bf32d736b

CCTV6,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv6hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20250215165355&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487839620250215013&ParentNodeID=-99&assertID=5500212872&client_ip=60.219.242.232&SecurityKey=20250215165355&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=8bb6d86dd7027ba75f559034537771bc&sv=10003&ct=ios&playUrlSsn=a5db230c77f7c47fcf36b6ae6a7da55d&is_advertise=0&jid=8f9294056ea46a5e2b91450e384e8000&sjid=subsession_1739609634893&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d43b170cb46696fda203b41d739484a1

CCTV7,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20250215165418&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316812120250215017&ParentNodeID=-99&assertID=5501083622&client_ip=60.219.242.232&SecurityKey=20250215165418&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=f9eea222418d6c4ff59eb4d6d9802be6&sv=10003&ct=ios&playUrlSsn=237e8bb211f9acb6f6443e56f14c7f58&is_advertise=0&jid=6f4a1451dbd230671e985d511fdc1999&sjid=subsession_1739609657758&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=64fcfd613629adc63c0f3cbb3caae5ce

CCTV8,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv8hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20250215165434&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487835620250215020&ParentNodeID=-99&assertID=5500212868&client_ip=60.219.242.232&SecurityKey=20250215165434&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=e120a2fb7257072731323a8ae24d8cc0&sv=10003&ct=ios&playUrlSsn=e113ca32d27794699595260adf51d1e3&is_advertise=0&jid=8bbcdb7254c734ba4543d8b6c1ab9b76&sjid=subsession_1739609674529&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f066c7e4f45bc2025e95b0f8541d6d37

CCTV9,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20250215165458&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316814020250215020&ParentNodeID=-99&assertID=5501083624&client_ip=60.219.242.232&SecurityKey=20250215165458&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=5ddb33875c73c34626cf21bb22501e99&sv=10003&ct=ios&playUrlSsn=f120499260c0089d4060cd20b15c7a9f&is_advertise=0&jid=bcc1e9cabf77e0ec0d461d0e5c841d60&sjid=subsession_1739609698143&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=33ea948405d06464c4b086da3dd5c46f

CCTV10,http://mgsp-ws2.live.miguvideo.com:8088/migu/kailu/cctv10hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20250215165516&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487840520250215026&ParentNodeID=-99&assertID=5500212874&client_ip=60.219.242.232&SecurityKey=20250215165516&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=e79f27c7d33bbc215c9b4ce623f05882&is_advertise=0&jid=2335f8fdfed9e89bb0819624eb3997e2&sjid=subsession_1739609716508&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=ae91d18652fcae3cdf60f80f06638555&encrypt=62576f83e2cce1411287393e2e382565

CCTV11,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv11hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20250215165536&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=66798755820250215010&ParentNodeID=-99&assertID=5500988610&client_ip=60.219.242.232&SecurityKey=20250215165536&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=41af6bbe78733eae6acbb8e3c7ee753c&sv=10003&ct=ios&playUrlSsn=d9dd140d87637238d91bbfc27f2501fd&is_advertise=0&jid=bbddeb685db62c700acb9a46c653fe22&sjid=subsession_1739609736431&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c58206349d947566b149dc3d3d49b6dd

CCTV12,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20250215165553&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316818520250215017&ParentNodeID=-99&assertID=5501083627&client_ip=60.219.242.232&SecurityKey=20250215165553&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=90c69f6ffcbc0c4e6263ed85dc354f2a&sv=10003&ct=ios&playUrlSsn=2f3dcbc07482350d6b3ef8f2d6b35faf&is_advertise=0&jid=bc588e4443836243f2620fb30c8c5291&sjid=subsession_1739609753482&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1d1d704c02e43d449f708d21bb938b75

CCTV13,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv13/57/20220913/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20250215165611&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=60880742320250215023&ParentNodeID=-99&assertID=2202208864&client_ip=60.219.242.232&SecurityKey=20250215165611&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=2313fc845acea84cac004347a3715ab6&sv=10003&ct=ios&playUrlSsn=99cd9ff6d9dc8824a765f7aaafc72d0c&is_advertise=0&jid=0027b44664635ac79ffc5b1cd78cb42d&sjid=subsession_1739609771582&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f2e5a05803513ed4360c49769fc5c6c5

CCTV14,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv14hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212875&pid=2028597139&timestamp=20250215165628&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487844020250215010&ParentNodeID=-99&assertID=5500212875&client_ip=60.219.242.232&SecurityKey=20250215165628&promotionId=F9B58E81-860B-44E2-ACFB-A9466FDE3C42&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=863754a02baaf72de31adc0c1c52b090&sv=10003&ct=ios&playUrlSsn=318315430ab1fbcf6fdef93cc6c6226e&is_advertise=0&jid=f9ef7b8a80c1bd6e8c09b08f981dfbd2&sjid=subsession_1739609787837&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=983b8d8f175d93362f6125525e6d8c4f

